Peak,DNase,RNAPII,H3K4me1,Input
scaffold_1-158,6.16,4.18,2.77,1.68
scaffold_235-1,6.82,13.1,3.02,1.78
scaffold_4-93,6.32,23.91,2.64,1.71
scaffold_2-96,6.38,6.41,4.7,1.28
scaffold_2-97,7.09,53.58,1.56,1.57
scaffold_53-3,5.39,3.37,3.18,1.25
scaffold_10-34,6.92,25.11,3.64,1.47
scaffold_10-31,6.48,12.28,5.74,1.37
scaffold_5-56,7.05,5.49,4.72,1.31
scaffold_9-43,6.07,11.85,2.62,1.3
scaffold_6-84,5.93,6.79,3.89,1.38
scaffold_7-77,5.63,4.51,4.46,1.11
scaffold_2-90,7.27,7.23,3.08,1.11
scaffold_7-73,7.16,29.24,1.34,1.68
scaffold_9-39,6.27,4.08,4.79,1.44
scaffold_7-80,5.88,4.46,3.93,1.2
scaffold_1-156,7.3,31.63,2.02,1.47
scaffold_10-35,6.41,7.12,6.15,1.37
scaffold_6-86,6.53,41.9,2.95,1.93
scaffold_6-87,6.48,14.02,2.73,1.34
scaffold_3-63,5.81,5.27,3.6,1.06
scaffold_7-82,6,31.57,3.55,1.21
scaffold_5-57,6.08,6.68,3.4,1.24
scaffold_6-85,6.39,9.02,4.51,1.76
scaffold_10-36,6.38,4.89,4.57,1.2
scaffold_1-154,6.38,2.12,3.01,1.63
scaffold_628-1,5.74,6.96,2.15,1.43
scaffold_1-160,6.87,1.74,5.44,1.56
scaffold_3-67,6.12,2.55,3.1,1.65
scaffold_7-85,6.52,6.36,5.17,1.41
scaffold_7-81,6.19,4.29,4.93,1.36
scaffold_4-100,5.68,7.99,3.36,1.45
scaffold_7-86,6.51,8.97,6.11,1.39
