Peak,DNase,RNAPII,H3K4me1,Input
scaffold_6-2417,1.94,4.02,2.73,1.04
scaffold_1-3686,2.35,3.75,2.09,0.59
scaffold_2-2737,2.51,3.59,3.54,1.27
scaffold_3-2124,1.8,1.2,1.93,0.93
scaffold_7-2122,2.34,7.28,5.55,1.22
scaffold_6-2433,2.04,4.78,2.26,0.62
scaffold_1-3818,3.72,14.13,1.31,1.13
scaffold_2-2732,1.93,0.71,2.44,0.9
scaffold_5-2020,2.05,1.96,4.1,1.16
scaffold_1-3725,2.5,1.09,2.43,1.03
scaffold_6-2357,2.16,4.78,2.27,0.72
scaffold_4-2520,3.04,1.47,4.65,1.5
scaffold_2-2753,2.84,2.39,4.1,1.38
scaffold_7-2116,2.37,2.55,3.1,1.12
scaffold_7-2031,2.12,0.76,2.72,0.77
scaffold_1-3831,2.14,1.25,3.39,1.05
scaffold_9-1556,1.7,0.22,1.23,0.53
scaffold_1-3735,2.69,15.92,3.32,0.83
scaffold_3-2130,2.15,1.2,1,0.65
scaffold_3-2136,2.35,1.63,3.4,1.07
scaffold_10-846,1.95,1.2,1.52,0.93
scaffold_10-836,2.05,1.41,2.33,0.96
scaffold_7-2097,1.99,4.24,2.78,0.93
scaffold_2-2762,1.96,1.14,1.91,1.05
scaffold_6-2343,2.13,0.92,2.39,0.89
scaffold_1-3824,1.87,1.36,2.29,0.84
scaffold_3-2109,1.98,1.9,2.51,0.84
scaffold_42-102,5.96,5.6,1.46,1.31
scaffold_9-1562,2.16,2.61,2.67,1.13
scaffold_8-2154,2.88,0.38,4.61,1
scaffold_1-3850,2.13,0.76,2.53,1.02
scaffold_3-2119,2.19,1.09,2.22,0.79
scaffold_10-856,2.37,0.6,4.22,1.32
scaffold_7-2047,2.26,3.53,2.18,1.15
scaffold_1-3800,1.97,0.71,3,1.09
scaffold_7-2070,1.95,0.65,2.3,0.91
scaffold_7-2123,1.64,0.82,0.97,0.51
scaffold_7-2075,1.88,0.38,2.06,0.72
scaffold_1-3817,2.1,3.59,2.26,0.95
scaffold_6-2412,2.52,1.36,3.86,1.01
scaffold_6-2410,2.53,58.09,1.39,0.92
scaffold_2-2742,2.54,1.52,5.09,1.13
scaffold_19-12,1.92,0.6,1.74,0.93
scaffold_2-2728,2.4,2.45,2.97,1.23
scaffold_1-3757,2.13,3.64,5.08,1.18
scaffold_8-2067,2.72,1.47,2.93,1.25
scaffold_1-3768,2.39,1.74,4.58,1.06
scaffold_347-1,1.79,1.63,1.38,0.56
scaffold_7-2096,2.2,3.48,3.52,1.28
scaffold_4-2478,2.35,1.2,3.78,1.22
scaffold_2-2721,1.91,1.96,2.32,0.95
scaffold_3-2120,2.13,1.03,1.7,0.87
scaffold_5-2039,2.01,0.6,2.33,0.97
scaffold_4-2537,2.65,2.01,4.51,1.35
scaffold_7-2133,2.88,4.29,3.3,1
scaffold_41-2,1.89,0.6,1.66,0.79
scaffold_3-2096,2.27,0.98,1.64,0.79
scaffold_6-2436,3.48,4.89,4.49,1.68
scaffold_9-1582,2.24,1.52,2.89,1.22
scaffold_1-3893,1.89,0.87,3.88,0.78
scaffold_2-2782,1.72,0.71,1.9,0.96
scaffold_4-2496,2.44,2.72,3.55,1.15
scaffold_1-3786,3.51,134.66,1.15,1.36
scaffold_4-2572,2.05,1.68,1.54,1.16
scaffold_2-2795,2.21,3.37,3.14,1.27
scaffold_2-2760,1.87,1.68,2.58,0.85
scaffold_3-2105,2.24,1.74,4.47,1.08
scaffold_1-3803,2.41,1.36,4.87,1.38
scaffold_1-3738,1.96,0.92,3.52,1.02
scaffold_1-3828,1.82,0.76,1.92,0.73
scaffold_3-2142,2.31,0.71,1.72,1.08
scaffold_345-2,1.64,2.06,2.55,0.73
scaffold_5-2059,2.27,1.36,3.8,1.07
scaffold_6-2464,1.88,0.6,2.21,0.92
scaffold_8-2119,2.09,2.28,2.58,0.89
scaffold_6-2473,3.18,64.34,2.48,1.15
scaffold_5-2007,1.86,0.65,3.08,0.97
scaffold_100-32,2.08,1.58,3.13,0.72
scaffold_8-2122,2.36,5.81,3.98,1.13
scaffold_47-7,1.99,0.49,3.13,1.04
scaffold_72-11,2.46,4.24,4.29,0.69
scaffold_4-2444,2.18,2.61,3.52,1.06
scaffold_6-2438,1.85,0.98,1.92,0.92
scaffold_7-2098,2.04,1.47,3.41,1.04
scaffold_6-2435,1.92,1.14,3.36,1.08
scaffold_4-2527,1.91,0.76,2.48,1.19
scaffold_4-2564,1.88,0.87,2.07,0.52
scaffold_4-2506,1.78,1.14,2.18,0.78
scaffold_195-3,2.13,1.41,4.61,0.84
scaffold_1-3781,2.26,1.52,3.52,1.1
scaffold_5-2038,2.59,2.77,3.65,1.13
scaffold_1-3833,2.29,1.9,5.36,1.19
scaffold_7-1962,1.85,0.54,1.46,0.51
scaffold_6-2447,1.8,1.96,3.57,0.95
scaffold_6-2453,2.07,1.25,2.08,0.91
scaffold_8-2156,2.18,0.65,3.26,1.04
scaffold_2-2745,1.97,3.04,2.78,1.26
scaffold_7-2113,2.16,1.58,3.51,0.99
scaffold_9-1588,1.78,0.87,2.21,0.87
scaffold_7-2040,1.53,1.3,2.02,0.93
scaffold_1385-2,2.21,9.24,3.98,0.89
scaffold_5-2068,2.43,19.62,3.49,1.29
scaffold_7-2135,2.41,0.6,4.8,1.17
scaffold_2-53131,4.36,11.68,3.24,1.39
scaffold_5-2028,1.98,1.58,3.35,1.08
scaffold_3-2154,2.26,0.87,3.16,0.99
scaffold_2-2772,1.79,1.63,3.06,1.12
scaffold_2-2746,3.3,3.91,3.89,1.3
scaffold_5-2098,2.31,0.65,1.9,0.93
scaffold_6-2469,2.35,9.18,4.03,1.25
scaffold_1-3837,2.01,0.98,2.31,0.98
scaffold_10-858,2.62,7.72,1.61,1.17
scaffold_6-2401,2.4,3.91,4.13,1.31
scaffold_5-2079,1.95,0.43,1.68,0.96
scaffold_2-2675,2.14,1.14,3.41,0.62
scaffold_1-3805,1.87,1.09,3.03,0.91
scaffold_4-2494,2.64,3.48,3.58,1.23
scaffold_2-2780,2.05,0.92,3.68,1.04
scaffold_3-2036,2.76,1.36,2.89,0.77
scaffold_2-2750,2.07,1.58,3.08,1.1
scaffold_1-3864,2.06,3.1,3.77,1.03
scaffold_2-2765,2.22,1.79,2.77,1.26
scaffold_9-1574,1.93,1.9,3.08,0.96
scaffold_7-2138,2.52,5.92,4.18,1.24
scaffold_4-2523,2.26,1.03,3.42,0.97
scaffold_6-2444,2.98,59.99,1.73,0.88
scaffold_9-1577,2.65,11.85,3.64,0.89
scaffold_6-2372,2.51,1.58,3.86,1.1
scaffold_2-2791,2.14,6.85,2.85,1.32
scaffold_4-2465,2.18,1.63,3.78,1.26
scaffold_8c-86,2.12,1.03,1.84,1.29
scaffold_9-1625,1.97,5.43,2.38,1.02
scaffold_4-2503,1.9,1.58,3.57,1.08
scaffold_7-2126,2.23,1.79,2.74,1.26
scaffold_7-2162,2.42,1.41,2.93,0.91
scaffold_5-2095,1.95,1.3,3.01,1.09
scaffold_2-2674,1.9,1.36,3.26,0.94
scaffold_8-2173,1.99,1.09,2.79,0.94
scaffold_1-3906,1.99,1.47,2.08,0.85
scaffold_8-2212,2.55,1.74,5.01,1.17
scaffold_54-23,2.78,0.87,4.28,1.3
scaffold_8-2126,1.81,0.49,2.97,0.76
scaffold_6-2463,3.04,4.67,5.34,1.02
scaffold_6-2481,2.29,0.87,2.47,1.23
scaffold_7-2145,2.1,1.25,3.55,1.14
scaffold_2-2814,2.53,1.41,4.1,1.29
scaffold_8-2183,2.04,3.8,3.39,1.23
scaffold_6-2365,2.1,2.61,1.48,0.8
scaffold_7-2142,2.03,1.36,3.18,1.32
scaffold_1-3760,2.28,0.87,3.93,1.11
scaffold_4-2553,2.78,4.62,6.01,1.05
scaffold_2-2824,2.03,2.88,2.43,0.72
scaffold_4-2581,2.35,15.49,2.27,1.15
scaffold_4-2563,2.24,2.66,5.84,1.13
scaffold_8-2171,2.19,1.41,3.1,1.26
scaffold_2-2757,2.44,4.73,6.19,1.19
scaffold_3-2194,2.03,0.54,2.41,0.9
scaffold_4-2611,2.09,1.52,2.83,1.16
scaffold_5-2041,2.74,3.64,3.88,0.59
scaffold_2-2803,2.07,1.47,2.78,0.51
scaffold_5-2101,1.77,0.6,2.08,0.59
scaffold_3-2191,2.14,1.2,3.94,1.01
scaffold_7-2120,2.46,1.25,3.48,0.95
scaffold_5-2058,2.13,0.6,2.51,0.9
scaffold_9-1584,2.25,4.51,2.59,1.12
scaffold_2-2743,3.68,4.35,5.03,1.11
scaffold_6-2496,1.85,1.63,1.77,1.05
scaffold_8-2186,2.67,3.48,2.8,1.13
scaffold_2-2793,2.41,0.76,3.89,1.35
scaffold_9-1593,2.13,0.87,2.02,0.92
scaffold_6-2460,2.25,0.92,3.45,0.97
scaffold_25-24,2.22,1.58,2.25,1.11
scaffold_2-2740,1.84,0.76,2.94,0.91
scaffold_6-2490,2.81,1.85,4.59,1.11
scaffold_7-2022,2.06,2.17,2.82,0.87
scaffold_2-2813,2.32,1.09,2.08,0.98
scaffold_2-2832,2.03,1.09,1.67,0.97
scaffold_7-2129,1.96,0.76,1.86,0.87
scaffold_5-2129,1.96,1.3,2.62,1.09
scaffold_3-2163,2.05,1.47,3.71,1
scaffold_5-2123,1.9,3.26,2.08,0.84
scaffold_8-2162,1.95,0.98,1.92,0.82
scaffold_6-2493,2.17,0.87,1.35,0.99
scaffold_4-2441,1.8,2.01,2.45,0.94
scaffold_1-3851,2.16,2.66,3.43,1.2
scaffold_10-789,1.61,1.03,1.73,0.88
scaffold_10-878,2.13,1.25,4.74,1.16
scaffold_2-2800,2.39,1.3,3.3,1.21
scaffold_529-4,2.45,5.05,2.84,0.85
scaffold_9039-1,1.27,0.22,0.25,0.25
scaffold_6-2461,1.83,0.65,2.85,0.9
scaffold_4126-3,1.9,1.09,3.71,0.96
scaffold_1-3870,2.61,12.23,4.18,1.29
scaffold_4-2482,2.3,3.75,2.77,0.98
scaffold_2-2801,2.14,1.2,1.79,0.94
scaffold_3-2165,2.11,2.55,2.31,0.97
scaffold_1-3866,1.93,2.01,3.18,1.09
scaffold_8-2056,2.24,16.95,1.28,0.6
scaffold_4-2558,2.3,2.66,5.9,1.24
scaffold_3-2176,1.99,1.63,2.35,0.97
scaffold_3-2179,2.15,1.41,3.51,1.41
scaffold_6-2495,1.75,0.98,1.77,0.92
scaffold_72-12,2.42,4.78,3.99,0.73
scaffold_6-2465,2.27,0.27,1.93,0.86
scaffold_51-5,1.97,0.38,2.12,0.84
scaffold_5-2100,1.93,1.58,3.68,1.05
scaffold_2253-1,1.35,4.67,1.08,0.36
scaffold_8-2211,2.02,1.47,2.55,1.06
scaffold_8-2178,1.91,2.34,3.47,1.16
scaffold_6-2475,1.99,1.14,3.19,1.08
scaffold_2-2853,1.85,2.34,2.27,0.93
scaffold_217-5,2.56,7.55,5.27,1.18
scaffold_100-33,1.64,0.49,1.43,0.74
scaffold_7-2192,1.97,1.41,3.74,1.05
scaffold_8-2175,2.64,1.79,3.64,1.09
scaffold_6-2504,2.04,1.3,2.85,1.05
scaffold_8-2177,1.54,0.82,0.82,0.39
scaffold_1-3949,2.12,1.74,1.35,1.18
scaffold_5-2103,2.31,0.43,4.22,1.2
scaffold_2-2829,2.24,2.23,2.65,1.04
scaffold_9-1629,2.39,7.88,2.66,0.67
scaffold_4-2631,2.33,0.98,4.03,1.11
scaffold_8-2192,2.14,0.82,2.66,0.91
scaffold_6-2530,2.19,0.6,0.93,1.08
scaffold_1-3977,1.93,1.14,1.56,0.93
scaffold_10-894,2.05,1.36,4.22,0.77
scaffold_5-2064,2.1,1.14,4.03,1.17
scaffold_7-2153,2.31,0.65,2.85,0.67
scaffold_2-2856,1.97,0.92,2.42,0.95
scaffold_6-2414,2.08,1.03,2.13,0.83
scaffold_3-2213,2.09,1.68,1.93,1.01
scaffold_7-2203,1.87,0.92,1.96,0.93
scaffold_7-2223,1.8,1.47,2.5,0.91
scaffold_1-3957,2.26,3.7,4.44,1.12
scaffold_7-2199,2.34,1.85,1.97,1.08
scaffold_6-2482,2.02,1.41,2.45,0.89
scaffold_4-2613,1.89,1.2,1.38,0.8
scaffold_2-2842,2.01,1.14,3.51,1.12
scaffold_1-4035,2.01,1.2,3.39,0.76
scaffold_9-1616,2.02,1.41,2.51,0.96
scaffold_4-2628,2.62,22.99,2.95,1.25
scaffold_2-2611,2.1,2.17,2.04,0.87
scaffold_1-3815,2.24,1.2,3.13,1.18
scaffold_1-3994,2.01,11.14,1.81,1.14
scaffold_2-2724,2.07,1.52,3.43,0.92
scaffold_7-2137,2.31,1.14,3.49,1.17
scaffold_2-2851,3.09,4.67,3.82,1.28
scaffold_6-2491,2.1,1.25,3.24,1.14
scaffold_4-2636,2.05,10.6,3.1,1.07
scaffold_9-1590,2.09,0.33,1.63,0.78
scaffold_2-2835,1.99,1.14,3.36,0.98
scaffold_4-2502,3.36,3.75,3.26,0.76
scaffold_8-2194,2.26,0.71,3.93,1.12
scaffold_1-3963,1.97,2.28,1.87,1.12
scaffold_1-3937,1.91,0.71,3.01,1.23
scaffold_2-2833,2.46,26.03,3.94,1.13
scaffold_3-2158,2.13,1.47,2.16,1.03
scaffold_7-2156,2.6,13.53,2.19,1.21
scaffold_8-2220,2.19,1.25,2.68,1.27
scaffold_1-4013,1.67,0.71,1.7,0.51
scaffold_2-2869,2.08,1.03,2.48,1.04
scaffold_1-4033,2.19,5.65,4.26,1.32
scaffold_778-3,1.38,19.78,1.83,0.68
scaffold_6-2517,2.63,1.41,4.21,1.01
scaffold_6-2476,2.07,2.23,3.32,0.99
scaffold_6-2570,2.49,1.36,5.1,1.18
scaffold_6-2516,3.17,4.08,5.42,1.2
scaffold_1-3941,2.07,0.98,5.36,1.28
scaffold_8-2223,2.81,1.41,3.84,1
scaffold_10-881,2.05,1.25,2.73,0.89
scaffold_4-2585,1.89,1.09,1.64,0.77
scaffold_1-3966,2.45,2.93,3.68,0.83
scaffold_43-5,2.08,1.09,2.06,0.73
scaffold_4-2589,1.87,1.2,1.69,1.15
scaffold_6-2451,1.92,2.93,3.2,1
scaffold_2-2886,2,1.47,3.83,1.13
scaffold_4-2531,1.92,0.76,1.79,1.08
scaffold_4-2656,1.82,1.09,2.19,0.86
scaffold_6-2554,1.94,1.03,1.68,1.01
scaffold_9-1665,1.89,1.09,3.92,1.25
scaffold_8127-1,1.98,3.75,1.75,0.66
scaffold_4-2623,2.37,1.09,2.37,1.33
scaffold_4-2604,2.65,2.55,5.17,1.05
scaffold_5-2138,2.11,0.76,2.74,0.85
scaffold_4-2661,3.11,1.52,3.36,1.1
scaffold_426-2,2.05,1.14,7.57,0.87
scaffold_1-3904,2.03,1.14,1.81,0.93
scaffold_6-2591,2.25,33.15,0.86,0.89
scaffold_6-2563,1.71,0.65,1.46,0.61
scaffold_7-2194,1.73,1.74,2.79,0.79
scaffold_4-2583,1.99,2.12,2.33,0.88
scaffold_9-1664,1.56,1.58,2.45,0.85
scaffold_3-2225,2.34,1.79,3.78,1.1
scaffold_5-2156,1.92,0.82,2.14,1.2
scaffold_1-20528,3.86,16.25,3.62,1.35
scaffold_6-2440,2.41,1.96,3.07,0.71
scaffold_2-2884,1.98,0.6,3.29,1.06
scaffold_5-2132,2.06,0.76,2.33,0.82
scaffold_9-1652,2.24,0.87,3.22,1.05
scaffold_9-1654,2.24,13.04,2.67,1.09
scaffold_7-2171,1.99,1.36,1.92,1.02
scaffold_4-2682,1.53,0.87,1.61,0.77
scaffold_8-2234,3.07,1.74,3.83,1.36
scaffold_1-3993,1.93,2.12,4.72,0.97
scaffold_1-4015,1.97,1.09,1.44,0.86
scaffold_4-2568,2.75,0.33,4.38,1.11
scaffold_9-1624,1.86,0.6,1.98,0.59
scaffold_5-2162,2.04,0.82,2.91,0.91
scaffold_45-14,2.06,0.65,2.21,0.59
scaffold_1-3997,1.93,1.3,2.24,0.99
scaffold_1-3989,2.15,1.47,3.42,1.05
scaffold_1-3975,1.98,2.28,3.48,1.12
scaffold_1-3968,2.43,1.41,4.8,1.18
scaffold_9-1615,1.89,1.47,4.46,1.1
scaffold_4-2627,1.91,0.98,3.24,0.76
scaffold_6-2532,2.19,2.12,3.58,1.18
scaffold_6-2533,1.84,1.52,3.32,1.22
scaffold_6-2434,2.57,1.85,1.86,0.66
scaffold_9-1666,1.88,0.54,2.21,1.01
scaffold_4-2685,3.18,2.99,3.71,1.19
scaffold_8-2204,2.04,2.06,2.97,1.08
scaffold_152-3,1.84,0.65,1.92,1.05
scaffold_6-2454,2.24,1.68,3.31,1.08
scaffold_1-3961,1.91,1.79,3.12,0.81
scaffold_5-2111,1.91,0.87,1.85,0.58
scaffold_23-9,1.9,0.98,2.65,0.95
scaffold_6-2510,3.05,65.75,1.83,1.04
scaffold_4-2634,2.46,1.41,3.83,1.08
scaffold_6-2585,1.62,1.58,1.8,0.86
scaffold_3-2169,3.37,2.23,3.68,1.26
scaffold_5-2189,2.26,1.96,2.93,0.72
scaffold_7-2219,2.06,1.47,3.71,1.24
scaffold_4-2649,1.84,0.87,1.43,0.98
scaffold_140-4,2.27,1.74,2.58,1.18
scaffold_1-4139,1.95,0.54,1.77,0.9
scaffold_4-2721,1.87,0.6,2.97,0.56
scaffold_6-2597,2.19,1.3,3,0.77
scaffold_5-2117,2.25,1.14,2.99,0.77
scaffold_1-3953,2.35,2.17,3.13,0.81
scaffold_1-4115,2.13,0.6,1.41,0.79
scaffold_2-2899,1.98,1.03,1.9,0.73
scaffold_3-2260,2.24,1.14,3.66,0.99
scaffold_4-2719,2.39,0.92,3.13,0.94
scaffold_1-4069,1.71,0.43,1.23,0.62
scaffold_6-2579,2.03,0.71,2.35,0.84
scaffold_5-2182,1.78,0.71,2.31,1.13
scaffold_3-2199,1.93,0.71,2.3,1.16
scaffold_3-2197,1.87,0.49,1.87,0.82
scaffold_44-33,1.58,1.09,1.21,0.55
scaffold_4-2711,2.14,1.03,4.58,1.15
scaffold_1-4145,2.11,1.9,3.34,1.18
scaffold_8-2246,2.5,0.71,4.27,1.4
scaffold_6-2595,1.81,1.41,1.86,0.96
scaffold_4-2709,2.02,5.98,1.67,1.02
scaffold_1-4055,2,0.49,2.26,0.95
scaffold_9-1646,1.95,1.09,2.26,1.14
scaffold_7-2217,1.78,34.34,0.54,0.52
scaffold_1-4002,1.93,1.52,2.33,1.02
scaffold_6-2574,1.95,3.1,1.49,0.86
scaffold_3-2309,2.08,2.34,2.65,0.92
scaffold_3-2268,2.08,2.61,3.01,1.13
scaffold_4-2644,2.07,0.82,3.01,1.09
scaffold_8-2276,1.81,1.58,2.48,0.96
scaffold_3-2256,2.54,1.25,4.85,1.15
scaffold_5-2183,2.24,0.71,4.07,1.16
scaffold_3-2306,1.5,0.76,1.87,0.64
scaffold_6-2606,2.3,1.25,4.24,1.08
scaffold_7-2150,2.98,2.06,2.66,1.41
scaffold_4-2731,2.35,0.98,2.97,0.93
scaffold_3-2291,1.93,0.87,2.04,0.86
scaffold_38-111,1.76,4.62,1.6,0.79
scaffold_6-2615,1.9,1.2,2.41,0.92
scaffold_1-4057,1.88,1.74,2.5,1.08
scaffold_2-2976,2.17,0.82,2.15,0.94
scaffold_4-2693,1.76,0.98,2.38,0.86
scaffold_2-2953,2.44,0.98,2.9,1.07
scaffold_3-2300,2.37,10.22,3.25,1.11
scaffold_2017-1,1.86,0.87,3.41,0.75
scaffold_3-2148,2.76,1.36,2.88,0.77
scaffold_5b-69,2.06,2.34,3.22,1.25
scaffold_4-2686,1.93,0.82,2.87,1.08
scaffold_1-4085,1.85,1.85,1.7,0.9
scaffold_6-2576,1.77,0.87,2.06,1.08
scaffold_7-2242,2.22,2.12,4.13,1.3
scaffold_1-4080,2.45,2.93,3.68,0.83
scaffold_6-2596,1.83,6.14,1.48,0.6
scaffold_1-3945,2.87,3.53,6.7,1.28
scaffold_4-2625,2.54,2.93,6.46,1.22
scaffold_2-2923,1.88,0.82,3.12,1.02
scaffold_3-2255,2.01,2.66,3.53,1.13
scaffold_8-2307,2.2,1.2,2.9,0.92
scaffold_3-2232,2.28,0.76,1.37,0.71
scaffold_2-2930,2.04,2.72,2.27,0.79
scaffold_3-2271,1.82,0.98,2.33,0.75
scaffold_5-2143,1.66,1.63,1.2,0.74
scaffold_7-2251,1.8,1.3,1.55,1.1
scaffold_2880-3,2.01,4.08,4.99,0.94
scaffold_8-2288,1.9,0.98,2.68,1.15
scaffold_4-2704,1.91,0.54,2.45,0.69
scaffold_2-2986,2.49,1.3,3.03,1.19
scaffold_8-2275,2.05,1.58,3.31,1.26
scaffold_1-4046,3.25,6.3,3.23,1.28
scaffold_7-2261,1.93,0.54,2.01,1.08
scaffold_5-2177,1.82,0.65,4.27,0.81
scaffold_7-2206,2,1.14,5.05,1.05
scaffold_8-2224,2.49,58.2,0.99,1.12
scaffold_1-4110,2.07,0.82,3.26,0.97
scaffold_5-2141,1.75,0.87,3,0.72
scaffold_2-2940,2.19,0.87,4.34,1.12
scaffold_1-3962,1.85,1.41,1.35,0.87
scaffold_1-4068,1.98,8.37,3.02,0.84
scaffold_3-2212,2.15,3.04,2.14,1
scaffold_6-2567,1.67,3.64,2.6,0.95
scaffold_7-2265,2.03,3.8,4.65,1.1
scaffold_4-2662,2.08,1.2,2.15,0.66
scaffold_7-2239,2.09,2.77,3.95,0.98
scaffold_8-2282,2.1,2.88,4.16,1.06
scaffold_7-2297,1.99,1.36,3.28,0.99
scaffold_2-2901,1.76,1.14,2.9,0.63
scaffold_1-4072,1.76,1.47,2.47,0.89
scaffold_1-4176,2.07,3.37,2.36,1.07
scaffold_7-2287,1.98,1.3,3.13,1.11
scaffold_10-921,1.76,88.85,1.41,0.91
scaffold_5800-1,1.77,1.3,1.87,0.43
scaffold_3-2314,1.85,1.74,1.75,1.06
scaffold_1-4121,2.19,1.03,4.16,0.98
scaffold_5-2234,2,0.71,2.97,0.96
scaffold_5-2253,2.14,1.3,3.08,1.17
scaffold_7-2254,2.03,0.71,1.04,0.75
scaffold_1-4119,2.05,5.49,4.49,1.08
scaffold_5-2204,2.3,0.98,3.02,1.06
scaffold_273-1,1.87,2.61,1.86,0.97
scaffold_1-4141,2.3,1.52,2.26,1
scaffold_9-1663,2.03,0.6,1.87,1.05
scaffold_7-2311,2.09,2.01,3.46,0.94
scaffold_1-4103,2.28,1.96,2.84,0.92
scaffold_4-2745,1.82,0.54,1.84,0.91
scaffold_7-2295,1.86,54.61,0.63,0.7
scaffold_6-2572,2.39,5.54,3.11,0.77
scaffold_8-2326,3.06,2.83,5.14,1.21
scaffold_10-919,1.72,0.98,1.9,0.84
scaffold_8-2290,1.95,5,1.52,0.81
scaffold_6-2677,1.94,0.65,1.57,0.84
scaffold_1-4021,1.9,1.2,4.38,0.93
scaffold_4-2744,2.75,4.67,1.83,0.95
scaffold_5-2196,2.59,7.77,4.22,0.98
scaffold_5-2199,2.14,1.36,2.97,1.1
scaffold_5-2188,2.53,0.98,3.17,0.89
scaffold_5-2224,2.3,1.63,2.99,1.04
scaffold_5-2231,2,0.82,3.25,0.89
scaffold_8-2317,1.81,0.98,1.74,0.84
scaffold_7-2274,1.96,0.71,3.2,1.02
scaffold_4-2758,2.23,1.47,3.16,1.28
scaffold_1-4089,1.95,0.49,1.17,0.94
scaffold_1-4159,2.54,1.63,2.8,1.02
scaffold_4-2778,2.02,0.71,2.27,0.88
scaffold_9-1708,1.81,0.82,2.22,1.34
scaffold_4-2722,1.96,0.98,1.72,0.68
scaffold_4-2708,2.28,1.47,3.69,1.14
scaffold_1-4091,1.9,2.39,2.41,1.11
scaffold_8-2328,2.37,1.36,4.76,1.03
scaffold_6-2630,2.1,1.47,3.03,0.97
scaffold_3-2261,2.49,1.14,3.65,1.21
scaffold_3-2302,2.22,0.65,2.66,0.93
scaffold_4-2713,1.99,0.92,1.9,0.85
scaffold_6-2635,1.9,0.54,1.72,0.75
scaffold_10-931,2.09,2.01,3.28,1.05
scaffold_4-2675,2.55,2.23,3.53,1.15
scaffold_2-3000,1.97,1.09,2.45,1.08
scaffold_7-2244,1.8,1.2,1.66,0.6
scaffold_2-2942,2.3,9.94,3.05,1.42
scaffold_1-4133,1.95,0.76,1.96,0.98
scaffold_2-2957,1.89,0.92,2.43,0.84
scaffold_4-2753,2.61,5.38,5.09,1.17
scaffold_6-2629,2.72,2.5,3.25,0.89
scaffold_5-2137,2.5,0.98,1.18,1.38
scaffold_4-2699,2.04,1.41,2.56,0.96
scaffold_6-2520,3.34,1.9,4.34,1.29
scaffold_1-4204,2.07,0.92,2.55,0.94
scaffold_1-4175,2.13,4.46,2.88,1.23
scaffold_4-2657,2.07,2.34,3.65,1.11
scaffold_7-2278,1.89,2.12,1.93,1.28
scaffold_5-2205,1.92,0.65,1.46,0.86
scaffold_1-4168,2.45,1.9,4.4,1.35
scaffold_7-2302,2.01,1.3,2.41,0.87
scaffold_6-2673,2.14,1.58,1.92,1
scaffold_7-2221,1.87,3.1,4.5,0.94
scaffold_1-3972,1.69,1.58,2.66,0.6
scaffold_9-1699,2.11,1.03,2.04,0.95
scaffold_90-1,1.74,0.87,3.43,0.63
scaffold_7-2272,2.17,0.76,2.37,0.84
scaffold_6-2641,2.11,0.65,3.01,0.93
scaffold_1-4155,1.89,1.2,2.21,1.27
scaffold_1-4174,5.07,4.13,4.64,0.82
scaffold_9-1661,1.9,0.71,2.83,1.02
scaffold_9-1693,1.67,0.49,2.44,0.77
scaffold_7-2294,1.91,1.3,2.16,0.99
scaffold_3-2283,2.14,6.74,4.26,1.08
scaffold_5-2272,2.01,1.36,2.79,1
scaffold_3-2345,2.13,2.01,4.86,1.1
scaffold_3-2318,1.81,1.68,2.32,0.88
scaffold_4-2767,1.87,1.2,2.74,1
scaffold_3-2336,2.08,1.03,3.97,1.19
scaffold_4-2802,1.52,0.49,1.21,0.58
scaffold_3-2289,2.42,1.14,2.31,0.7
scaffold_9-1723,2.65,3.1,2.43,1.28
scaffold_5-2268,2.27,0.82,2.55,1
scaffold_2-3044,2.34,3.7,4.44,1.06
scaffold_10-913,2.08,2.23,4.51,1.15
scaffold_5-2250,2.18,0.71,2.96,0.97
scaffold_4-2760,2.28,38.15,1.95,1.23
scaffold_4-2752,2.26,0.98,4.05,1.3
scaffold_5-2235,1.98,3.26,4.5,1.17
scaffold_6-2655,1.68,1.9,2.38,1.14
scaffold_5-2255,2.37,0.87,2.39,0.99
scaffold_3-2360,2.22,0.6,3.59,0.76
scaffold_2-3028,1.82,1.3,2.56,1.06
scaffold_1-4205,2.07,1.47,3.6,1.07
scaffold_75-55,2.17,7.39,2.93,0.71
scaffold_4-2768,2.05,1.36,2.84,1.06
scaffold_5-2260,1.96,1.25,1.95,0.68
scaffold_8-2278,1.84,1.2,3.14,0.8
scaffold_2-3001,1.87,7.12,2.01,0.89
scaffold_10-956,1.91,0.98,2.53,1.05
scaffold_1-4218,2.01,0.54,3.12,1.11
scaffold_53-22,2.71,47,1.56,1.16
scaffold_6-2680,1.94,61.57,1.11,0.75
scaffold_7-2340,1.76,1.14,1.83,0.59
scaffold_8-2365,1.78,0.6,1.81,0.62
scaffold_10-936,2.53,13.15,2.01,0.92
scaffold_3-2373,2.11,0.6,2.62,0.9
scaffold_3-2324,1.78,1.09,2.96,0.8
scaffold_3-2326,2.3,1.41,3.54,0.83
scaffold_10-935,2.38,28.04,1.16,0.97
scaffold_5-2271,1.86,3.04,2.24,0.97
scaffold_8-2338,1.96,1.41,1.84,1.02
scaffold_1-4227,1.93,1.2,2.5,0.87
scaffold_1-3987,1.99,1.25,1.72,0.94
scaffold_6-2700,1.97,0.82,2.91,0.87
scaffold_2-3024,1.85,1.47,1.44,0.96
scaffold_9-1670,2.11,1.9,3,1.03
